id;name;path;url;createdOn;environmentsCount;environments;;;;;;;;;;;;;;;;;;;
37;OmsTrackingAuth-K8s-CD;\OMS\Tracking y Notificaciones;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/37;2023-03-29T18:57:27.083Z;3;Desarrollo/Tester/Producción;;;;;;;;;;;;;;;;;;;
39;OmsCoreTracking-K8s-CD;\OMS\Tracking y Notificaciones;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/39;2023-03-29T19:10:18.757Z;3;Desarrollo/Tester/Producción;;;;;;;;;;;;;;;;;;;
41;OmsTrackingUsersFront-OBSOLETO;\OMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/41;2023-04-03T18:33:56.32Z;3;Desarrollo/Tester/Producción;;;;;;;;;;;;;;;;;;;
43;Legacy-RopaProcesosEspecialesCambiarTerminales-PRO006-CD;\WMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/43;2023-04-05T00:27:57.777Z;31;Desarrollo/Tester/Control-Produccion/1-Culiacan/2-Leon/3-Laguna/4-Mexicali/5-Nogales/6-Monterrey/7-Guadalajara/8-Azcapozalco/9-Nuevo Laredo/10-Ciudad Juarez/11-Hermosillo/12-Puebla/13-VillaHermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-ImpMexicali/20-LosMochis/21-Tecamac/22-Veracruz/24-Merida/25-Tlaquepaque(GDII)/26-IMPixtapaluca/27-Toluca/28-Texcoco/SCM Inspection;;;;;;;;;;;;;;;;;;;
48;Legacy-WMS-REE001.DLL-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/48;2023-04-19T16:25:34.023Z;31;Desarrollo/Tester/Control-Produccion/1-Culiacan/2-Leon/3-Laguna/4-Mexicali/5-Nogales/6-Monterrey/7-Guadalajara/8-Azcapozalco/9-Nuevo Laredo/10-Ciudad Juarez/11-Hermosillo/12-Puebla/13-VillaHermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-ImpMexicali/20-LosMochis/21-Tecamac/22-Veracruz/24-Merida/25-Tlaquepaque(GDII)/26-IMPixtapaluca/27-Toluca/28-Texcoco/SCM Inspection;;;;;;;;;;;;;;;;;;;
50;legacy-oms-pricingRopa-Netcore-K8s-CD;\OMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/50;2023-04-20T23:57:41.797Z;4;Desarrollo/QA/Produccion/SCM Inspection;;;;;;;;;;;;;;;;;;;
59;obsoleto-FW-FRONT-WEBMOTOS-17013-RH8-CD;\WMS\Salida de Mercancias;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/59;2023-05-05T07:18:11.327Z;28;Desarrollo 110/Tester 27/Control produccion/01-Culiacan/02-Leon/03-Laguna/04-Mexicali/05-Nogales/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Nuevo Laredo/10-Juarez/11-Hermosillo/12-Guadalupe/13-Villa Hermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-Los Mochis/20-Tecamac/21-Veracruz/22-Texcoco/23-Merida/24-Tlaquepaque/25-Toluca;;;;;;;;;;;;;;;;;;;
60;FW-CAP-WEBMOTOS-17025-RH8-CD;\WMS\Salida de Mercancias;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/60;2023-05-09T16:09:09.16Z;29;Desarrollo/Tester/Produccion/01-Cualican/02-Leon/03-Laguna/04-Mexicali/05-Nogales/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Nuevo Laredo/10-Juarez/11-Hermosillo/12-Guadalupe/13-Villa Hermosa/14- La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-Los Mochis/20-Tecamac/21-Veracruz/22-Texcoco/23-Merida/24-Tlaquepaque/25-Toluca/SCM Inspection;;;;;;;;;;;;;;;;;;;
62;legacy-tms-bmliquidaciones.dll-OBSOLETO;\TMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/62;2023-05-12T00:59:10.087Z;30;Desarrollo/Tester/Control-Produccion/1-Culiacan/2-Leon/3-Laguna/4-Mexicali/5-Nogales/6-Monterrey/7-Guadalajara/8-Azcapozalco/9-Nuevo Laredo/10-Ciudad Juarez/11-Hermosillo/12-Puebla/13-VillaHermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-ImpMexicali/20-LosMochis/21-Tecamac/22-Veracruz/24-Merida/25-Tlaquepaque(GDII)/26-IMPixtapaluca/27-Toluca/28-Texcoco;;;;;;;;;;;;;;;;;;;
63;legacy-tms-bmliquidaciones.dll-CD;\TMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/63;2023-05-12T23:49:01.47Z;36;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez/SCM Inspection;;;;;;;;;;;;;;;;;;;
